,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,SoilDensity,Soil_pop_wgt,max_soil,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged,Years_Before_Data_Age,avg_diff,avg_pred,ct,actual
1085,0,2011,6.0,39.0,5.3,CHINA,25.075,98.721,30.0,66223.336,4635633.5,61172.33026754737,438611.25,0.6324638,0.6437634,0.64671975,1.5208571774618869,1.536578601275693,1.850000023841929,0.1082404730094278,0.2802335615563972,0.7871103699832037,199526.2314968879,4,-0.2498523688808046,0.2498523688808046,5,0.0
1086,0,2011,7.0,20.0,6.1,UZBEKISTAN,40.081,71.41,40.0,117915.875,8254111.5,125299.99312013814,382531.53,0.66875714,0.6899242,0.701,1.5674285871642146,1.3744936800535927,1.8799999952316653,0.0562227711839665,0.2799067764793557,0.7859232201427692,1258925.411794166,4,0.8181159042559865,1.1818840957440135,1,2.0
1087,0,2011,8.0,4.0,5.4,USA,37.063,-104.701,150.0,1947.8304,136348.12,6766.628492352786,51812.066,0.92259985,0.9298513,0.9511953,1.4855714321136506,1.501366154062694,1.5700000524521105,0.0980815986908363,0.2802138401079483,0.7870018520858314,251188.6431509582,4,0.054269263561553836,-0.054269263561553836,4,0.0
1088,0,2011,8.0,6.0,5.8,USA,37.936,-77.933,150.0,60510.664,4235746.5,110331.3099321126,681613.3,0.9502875,0.9502452,0.9531811,1.449571454524996,1.4506805928836572,1.5000000000000853,0.0841724420446365,0.2802978024958363,0.7868230586372101,630957.344480193,4,-0.2628516450098704,0.2628516450098704,3,0.0
1089,0,2011,8.0,10.0,5.7,CHINA,39.955,77.028,40.0,24480.924,1713664.6,49917.63950248689,317865.3,0.7045139,0.7080356,0.7083121,1.630428545815583,1.5512120775896203,1.8799999952316493,0.1257338458883269,0.284806927766585,0.7972380533432307,501187.2336272725,4,-0.41336615383852077,0.41336615383852077,1,0.0
1090,0,2011,8.0,40.0,5.0,CHINA,24.932,98.73,30.0,71173.3,4982130.5,61221.93529392,438611.25,0.6337598,0.6427205,0.64671975,1.5082857455526009,1.524989621123724,1.850000023841929,0.11947384649118,0.2802594041464546,0.7872424928708526,100000.0,4,-0.11486024866383909,0.11486024866383909,3,0.0
1091,0,2011,9.0,9.0,5.6,GUATEMALA,14.186,-90.238,100.0,216991.14,15189380.0,316663.43468234444,2257999.2,0.64685756,0.65337056,0.72968847,1.2768571461949816,1.3100124705507867,1.5399999618529598,0.1284133949418389,0.3274998824535809,0.8483144974663889,398107.1705534969,4,0.5873955096409041,0.41260449035909585,4,1.0
1092,0,2011,9.0,10.0,4.3,INDIA,28.724,77.189,60.0,967284.9,67709944.0,1411524.3233710427,8938126.0,0.6364895,0.67005855,1.0,1.5302857313837364,1.5366829907261943,1.5700000524520996,0.1178855376896141,0.2803522956008815,0.7873242999842216,19952.62314968879,4,-0.022827727137426885,0.022827727137426885,1,0.0
1093,0,2011,9.0,50.0,6.9,INDIA,27.73,88.155,60.0,70775.81,4954307.0,133159.8776370179,630385.94,0.5993033,0.6130547,0.738,1.498285729544498,1.326462659607077,1.620000004768364,0.1092016483271782,0.2803965563408793,0.7871723010905046,7943282.347242822,4,0.8155466906905957,2.1844533093094043,2,3.0
1094,0,2011,9.0,91.0,6.7,INDONESIA,2.965,97.893,60.0,126057.0,8823990.0,299825.8916291815,2372368.0,0.7002476,0.70062786,0.7007373,1.1365714311599389,1.24372872377845,1.4400000572205438,0.0917823512352919,0.3127382919195931,0.8262100951537857,5011872.336272725,4,0.8330242886643967,1.1669757113356032,2,2.0
1095,0,2011,10.0,3.0,4.0,ECUADOR,-0.13,-78.37,160.0,77481.61,5423712.5,175634.46340215593,1030722.6,0.7388286,0.73888326,0.739,1.1831428766250671,1.1925931405844028,1.4600000381469442,0.0070710678113296,0.2806937638465049,0.7847844085634853,10000.0,4,-0.5948824367156005,0.5948824367156005,2,0.0
1096,0,2011,10.0,10.0,3.5,INDIA,27.449,88.684,60.0,142329.4,9963059.0,220276.22696150147,830431.8,0.6087679,0.63467664,0.738,1.4981428657259208,1.4188570314102162,1.6000000238419323,0.0946414285439624,0.2801895165054213,0.7869295176639479,3162.2776601683795,4,0.6664113745241549,0.3335886254758451,2,1.0
1097,0,2011,10.0,10.0,5.0,INDIA,21.211,70.533,60.0,183979.17,12878542.0,125732.19327554465,753062.25,0.7108202,0.7122935,0.7147077,1.3418571591376975,1.4614649070823509,1.710000038147184,0.1259364919383593,0.3718142406341266,0.8902145629215921,100000.0,4,-0.3847371325990187,0.3847371325990187,3,0.0
1098,0,2011,10.0,16.0,7.1,TURKEY,38.722,43.513,140.0,30870.885,2160962.0,28775.64240173287,174754.16,0.7679,0.7679008,0.774,1.436714303493502,1.4343686576097965,1.519999980926542,0.1481654480694295,0.2806415728688063,0.7877979365914137,12589254.117941665,4,0.0006005365055021805,2.999399463494498,3,3.0
1099,0,2011,10.0,24.0,6.9,PERU,-14.438,-75.966,160.0,15722.046,1100543.2,31346.58641179422,147458.14,0.74,0.74000007,0.74,1.286857129846303,1.4029503704214172,1.519999980926611,0.1106797181141663,0.415296212486158,1.0316838168567948,7943282.347242822,4,0.3120360479613941,0.6879639520386059,3,1.0
